テーブル名（日本語）,テーブル名（英語）,カラム名（日）,カラム名（英）,仮説,分析シナリオ,説明文,具体的手続,TGDScript
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",キャンセル入金の理由が記録されていない,入金データにおいて、キャンセル入金の理由が記録されていないケースを抽出して内容を確認する,キャンセル入金の理由が記録されていない場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金番号、入金日、入金金額、得意先コード」を用いて「キャンセル入金の理由が記録されていない」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、キャンセル入金の理由が記録されていないケースを抽出して内容を確認する

説明文:
- キャンセル入金の理由が未入力の場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生する可能性がある

処理手順:
1. 入金データを開く  
2. [キャンセルフラグ] が “1” かつ [キャンセル理由] が空文字のレコードを抽出  
3. 抽出結果を別ファイルに出力し、必要に応じて担当者や請求データと突合して詳細を確認  
4. 抽出件数を集計し、レポート用に保存
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
EXTRACT ALLFIELDS IF [キャンセルフラグ] = ""1"" AND [キャンセル理由] = """" TO ""01001\K_結果\K01001_005_キャンセル理由なし_入金データ""
OPEN ""01001\K_結果\K01001_005_キャンセル理由なし_入金データ""
SUMMARIZE ON RECORDS SUBTOTAL OTHER TO ""W_作業\W01001_010_キャンセル理由なし_入金データ_件数""
OPEN ""W_作業\W01001_010_キャンセル理由なし_入金データ_件数""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",キャンセル済みの請求に対して入金が処理されている,入金データにおいて、キャンセル済みの請求に対して入金が処理されているケースを抽出して内容を確認する,キャンセル済みの請求に対して入金が処理されている場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「消込対象請求番号」を用いて「キャンセル済みの請求に対して入金が処理されている」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、キャンセル済みの請求に対して入金が処理されているケースを抽出して内容を確認する

説明文:
- キャンセル済みの請求に対して入金が処理されている場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生する可能性がある

処理手順:
1. 入金データを開く  
2. [キャンセルフラグ] が “1” かつ [入金ステータス] が “確定” のレコードを抽出  
3. 抽出結果を出力し、件数を集計して確認
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
EXTRACT ALLFIELDS IF [キャンセルフラグ] = ""1"" AND [入金ステータス] = ""確定"" TO ""01002\K_結果\K01002_005_キャンセル_入金""
OPEN ""01002\K_結果\K01002_005_キャンセル_入金""
SUMMARIZE ON RECORDS SUBTOTAL OTHER TO ""W_作業\W01002_010_キャンセル_入金_件数""
OPEN ""W_作業\W01002_010_キャンセル_入金_件数""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",マイナス金額の入金データが存在する,入金データにおいて、マイナス金額の入金データが存在するケースを抽出して内容を確認する,マイナス金額の入金データが存在する場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金金額」を用いて「マイナス金額の入金データが存在する」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",一部のデータで通貨単位が異なる（円とドルが混在）,入金データにおいて、一部のデータで通貨単位が異なる（円とドルが混在）ケースを抽出して内容を確認する,一部のデータで通貨単位が異なる（円とドルが混在）場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金番号、入金日、入金金額、得意先コード」を用いて「一部のデータで通貨単位が異なる（円とドルが混在）」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、一部のデータで通貨単位が異なる（円とドルが混在）ケースを抽出して内容を確認する

説明文:
- 通貨単位が混在している場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生する可能性がある

処理手順:
1. 入金データを開く  
2. [通貨] フィールドの値ごとに集計し、円・ドルなど異なる単位の存在を把握  
3. 異なる通貨単位が混在しているレコードを抽出  
4. 抽出結果を出力し、必要に応じて補足情報（得意先コード、入金日、入金金額、請求番号など）を確認
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
SUMMARIZE ON [通貨] SUBTOTAL OTHER TO ""W_作業\W01004_005_通貨_要約""
OPEN ""W_作業\W01004_005_通貨_要約""
OPEN ""入金データ""
EXTRACT ALLFIELDS IF [通貨] <> ""円"" AND [通貨] <> ""ドル"" TO ""01004\K_結果\K01004_005_通貨混在_入金データ""
OPEN ""01004\K_結果\K01004_005_通貨混在_入金データ""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",一部の取引先でだけ小数点以下の金額が多く存在する,入金データにおいて、備考欄が同一文言で一括入力されているケースを抽出して内容を確認する,一部の取引先でだけ小数点以下の金額が多く存在する場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金金額」を用いて「一部の取引先でだけ小数点以下の金額が多く存在する」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、備考欄が同一文言で一括入力されているケースを抽出して内容を確認する

説明文:
- 同一の入力者がすべて同じ備考を入力している場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生する可能性がある

処理手順:
1. 入金データを開く  
2. [入力者] と [備考] ごとに件数を集計し、備考が空でないレコードをすべて出力  
3. 集計結果からカウント件数が1件以外のグループを抽出し、同一備考が複数伝票に使われているケースを特定  
4. 抽出したグループごとの明細データを出力し、件数を集計して確認
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
SUMMARIZE ON [入力者] [備考] SUBTOTAL OTHER ALLFIELDS OUTPUT_ALLRECORDS IF [備考] <> """" TO ""01010\K_結果\K01010_005_同一備考欄_カウント""
OPEN ""01010\K_結果\K01010_005_同一備考欄_カウント""
EXTRACT ALLFIELDS IF [カウント件数] <> 1 TO ""01010\K_結果\K01010_010_同一備考欄_明細""
OPEN ""01010\K_結果\K01010_010_同一備考欄_明細""
SUMMARIZE ON RECORDS SUBTOTAL OTHER TO ""W_作業\W01010_005_同一備考欄_明細_件数""
OPEN ""W_作業\W01010_005_同一備考欄_明細_件数""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",一部の得意先に入金が偏って集中している,入金データにおいて、一部の得意先に入金が偏って集中しているケースを抽出して内容を確認する,一部の得意先に入金が偏って集中している場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「得意先コード」を用いて「一部の得意先に入金が偏って集中している」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、一部の得意先に入金が偏って集中しているケースを抽出して内容を確認する

説明文:
- 一部の得意先に入金が偏って集中している場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生する可能性がある

処理手順:
1. 入金データを開く  
2. 得意先コードごとに入金金額の合計を集計し、一時テーブルに保存  
3. 集計結果に対して偏差値（IQR 法による外れ値検出含む）を算出し出力  
4. 算出された偏差値フィールドでビン幅「10,20,…,90」のヒストグラムを作成し出力
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
SUMMARIZE ON [得意先コード] SUBTOTAL [入金金額] OTHER ALLFIELDS TO ""W_作業\W01006_005_得意先別_入金金額""
OPEN ""W_作業\W01006_005_得意先別_入金金額""
DEVIATION ON RECORDS SUBTOTAL [合計_入金金額] OTHER [得意先コード] INCLUDE OUTLIER IQR OUTLIERS LOGARITHM TO ""01006\K_結果\K01006_005_入金金額_偏差値""
OPEN ""01006\K_結果\K01006_005_入金金額_偏差値""
HISTOGRAM ON [偏差値_合計_入金金額] FREE ""10,20,30,40,50,60,70,80,90"" TO ""01006\K_結果\K01006_010_入金金額_偏差値_HTG""
OPEN ""01006\K_結果\K01006_010_入金金額_偏差値_HTG""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",一部入金のみ担当者承認が記録されていない,入金データにおいて、一部入金のみ担当者承認が記録されていないケースを抽出して内容を確認する,一部入金のみ担当者承認が記録されていない場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金番号、入金日、入金金額、得意先コード」を用いて「一部入金のみ担当者承認が記録されていない」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",仮の請求番号が使われたまま入金処理されている,入金データにおいて、仮の請求番号が使われたまま入金処理されているケースを抽出して内容を確認する,仮の請求番号が使われたまま入金処理されている場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「消込対象請求番号」を用いて「仮の請求番号が使われたまま入金処理されている」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",会計年度をまたいだ不適切な消込処理,入金データにおいて、会計年度をまたいだ不適切な消込処理ケースを抽出して内容を確認する,会計年度をまたいだ不適切な消込処理場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金番号、入金日、入金金額、得意先コード」を用いて「会計年度をまたいだ不適切な消込処理」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",備考欄がすべて同じ文言になっている,入金データにおいて、備考欄がすべて同じ文言になっているケースを抽出して内容を確認する,備考欄がすべて同じ文言になっている場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「備考」を用いて「備考欄がすべて同じ文言になっている」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,
